province_state,country_region,last_update,confirmed,deaths,recovered,latitude,longitude
Hong Kong,China,2020-03-22T09:43:06Z,317,4,100,22.3,114.2
Fujian,China,2020-03-22T02:13:13Z,307,1,295,26.0789,117.9874
North Carolina,US,2020-03-22T22:43:03Z,302,0,0,35.6301,-79.8064
Victoria,Australia,2020-03-22T14:13:08Z,296,0,70,-37.8136,144.9631
NA,South Africa,2020-03-22T23:13:18Z,274,0,0,-30.5595,22.9375
Alberta,Canada,2020-03-22T23:43:03Z,259,1,0,53.9333,-116.5765
Guangxi,China,2020-03-20T00:43:02Z,254,2,250,23.8298,108.7881
NA,Croatia,2020-03-22T16:43:07Z,254,1,5,45.1,15.2
NA,Mexico,2020-03-22T11:13:20Z,251,2,4,23.6345,-102.5528
Shaanxi,China,2020-03-21T01:43:03Z,248,3,239,35.1917,108.8701
NA,Lebanon,2020-03-22T16:13:11Z,248,4,8,33.8547,35.8623
NA,Panama,2020-03-22T01:43:02Z,245,3,0,8.538,-80.7821
Maryland,US,2020-03-22T15:13:58Z,244,3,0,39.0639,-76.8021
NA,Iraq,2020-03-22T16:43:07Z,233,20,57,33.2232,43.6793
NA,Colombia,2020-03-22T16:43:07Z,231,2,3,4.5709,-74.2973
NA,Argentina,2020-03-22T15:13:49Z,225,4,3,-38.4161,-63.6167
Connecticut,US,2020-03-22T15:13:58Z,223,5,0,41.5978,-72.7554
NA,Serbia,2020-03-22T23:13:18Z,222,2,1,44.0165,21.0059
Queensland,Australia,2020-03-21T13:13:35Z,221,0,8,-28.0167,153.4
Virginia,US,2020-03-22T22:43:03Z,221,6,0,37.7693,-78.17
Quebec,Canada,2020-03-22T23:43:03Z,219,5,0,52.9399,-73.5491
Mississippi,US,2020-03-22T17:43:06Z,207,1,0,32.7416,-89.6787
NA,Dominican Republic,2020-03-22T16:43:07Z,202,3,0,18.7357,-70.1627
NA,Algeria,2020-03-22T16:43:07Z,201,17,65,28.0339,1.6596
Indiana,US,2020-03-22T20:43:03Z,201,6,0,39.8494,-86.2583
South Carolina,US,2020-03-22T22:43:03Z,196,3,0,33.8569,-80.945
NA,Armenia,2020-03-22T23:43:03Z,194,0,2,40.0691,45.0382
Nevada,US,2020-03-22T19:43:03Z,190,2,0,38.3135,-117.0554
NA,Kuwait,2020-03-22T15:13:52Z,188,0,27,29.3117,47.4818
NA,Bulgaria,2020-03-22T23:43:03Z,187,3,3,42.7339,25.4858
